,expt_id,Group,group_id,invRT,Trial,participant_id,response_correct,response_name,response_rt,stimuli_presented,trial_template,trial_duration,PartBlocks,AllBlocks,Pattern,trial_num,PB,Final,Part,Correct
48,AP,DisFirst_reg,,-0.5688282138794084,,DFi_2,(based on tag),,1758,"dispref (22, pidope.wav)",AP,116573,,,,,p,,,(based on tag)
49,AP,DisFirst_reg,,-0.6325110689437066,,DFi_2,(based on tag),,1581,"dispref (32, todupe.wav)",AP,118302,,,,,p,,,(based on tag)
50,AP,DisFirst_reg,,-0.7886435331230284,,DFi_2,(based on tag),,1268,"dispref (17, goteb.wav)",AP,119772,,,,,b,,,(based on tag)
51,AP,DisFirst_reg,,-0.7147962830593281,,DFi_2,(based on tag),,1399,"dispref (3, bikub.wav)",AP,121342,,,,,b,,,(based on tag)
52,AP,DisFirst_reg,,-0.8787346221441125,,DFi_2,(based on tag),,1138,"dispref (19, gutob.wav)",AP,122632,,,,,b,,,(based on tag)
53,AP,DisFirst_reg,,-0.7704160246533128,,DFi_2,(based on tag),,1298,"dispref (6, bogepe.wav)",AP,124081,,,,,p,,,(based on tag)
54,AP,DisFirst_reg,,-0.5361930294906166,,DFi_2,(based on tag),,1865,"dispref (16, dokupe.wav)",AP,126101,,,,,p,,,(based on tag)
55,AP,DisFirst_reg,,-0.16276041666666666,,DFi_2,(any response),,6144,Please take a b...,AP,130380,,,,,,,,(any response)
56,AP,DisFirst_reg,,-0.7830853563038371,,DFi_2,(based on tag),,1277,"dispref (24, pigepe.wav)",AP,131930,,,,,p,,,(based on tag)
57,AP,DisFirst_reg,,-0.7374631268436578,,DFi_2,(based on tag),,1356,"dispref (4, bikupe.wav)",AP,133440,,,,,p,,,(based on tag)
58,AP,DisFirst_reg,,-0.7326007326007326,,DFi_2,(based on tag),,1365,"dispref (10, degope.wav)",AP,134979,,,,,p,,,(based on tag)
59,AP,DisFirst_reg,,-0.7558578987150416,,DFi_2,(based on tag),,1323,"dispref (26, potipe.wav)",AP,136509,,,,,p,,,(based on tag)
60,AP,DisFirst_reg,,-0.8984725965858041,,DFi_2,(based on tag),,1113,"dispref (23, pigeb.wav)",AP,137799,,,,,b,,,(based on tag)
61,AP,DisFirst_reg,,-0.823045267489712,,DFi_2,(based on tag),,1215,"dispref (14, dogipe.wav)",AP,139169,,,,,p,,,(based on tag)
62,AP,DisFirst_reg,,-0.7304601899196493,,DFi_2,(based on tag),,1369,"dispref (32, todupe.wav)",AP,140709,,,,,p,,,(based on tag)
63,AP,DisFirst_reg,,-0.7457121551081283,,DFi_2,(based on tag),,1341,"dispref (22, pidope.wav)",AP,142208,,,,,p,,,(based on tag)
64,AP,DisFirst_reg,,-1.002004008016032,,DFi_2,(based on tag),,998,"dispref (27, tekub.wav)",AP,143378,,,,,b,,,(based on tag)
65,AP,DisFirst_reg,,-0.6605019815059445,,DFi_2,(based on tag),,1514,"dispref (13, dogib.wav)",AP,145108,,,,,b,,,(based on tag)
66,AP,DisFirst_reg,,-0.8347245409015025,,DFi_2,(based on tag),,1198,"dispref (30, todipe.wav)",AP,146497,,,,,p,,,(based on tag)
67,AP,DisFirst_reg,,-0.7209805335255948,,DFi_2,(based on tag),,1387,"dispref (28, tekupe.wav)",AP,148107,,,,,p,,,(based on tag)
68,AP,DisFirst_reg,,-1.050420168067227,,DFi_2,(based on tag),,952,"dispref (1, bidob.wav)",AP,149207,,,,,b,,,(based on tag)
