.Experiment Name	Phoneme_VoicedVoiceless1
.Participant Name	J_M
.Session ID	DF_1
.Date	9/11/2025	9:25:32 AM
.Resolution	1920	1080
.OS	Windows 10 (10.0)	x86_64

Participant	Participant	Session	Block	Trial	Event	Cumulative	Participant		Pressed Or	Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Time	Response	Key	Released	Response	Code	Time	PorB
DisFirst_reg	J_M	DF_1	dispref	dispref, 25	dispref (25, potib.wav)	294577	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1225	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 8	dispref (8, bugipe.wav)	296056	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1272	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 1	dispref (1, bidob.wav)	297387	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1173	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 6	dispref (6, bogepe.wav)	298756	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1220	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 3	dispref (3, bikub.wav)	300346	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1433	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 21	dispref (21, pidob.wav)	301766	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1266	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 31	dispref (31, todub.wav)	303335	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1406	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 5	dispref (5, bogeb.wav)	305385	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1899	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 9	dispref (9, degob.wav)	306955	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1413	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 22	dispref (22, pidope.wav)	308214	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1093	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 16	dispref (16, dokupe.wav)	310004	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1452	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 28	dispref (28, tekupe.wav)	311704	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1546	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 13	dispref (13, dogib.wav)	314423	Button 4 (left thumb)	4	Pressed	(based on tag)	C	2567	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 4	dispref (4, bikupe.wav)	316203	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1624	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 18	dispref (18, gotepe.wav)	317943	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1594	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 2	dispref (2, bidope.wav)	319512	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1423	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 19	dispref (19, gutob.wav)	320722	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1060	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 26	dispref (26, potipe.wav)	322292	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1424	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 11	dispref (11, dikeb.wav)	323742	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1301	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 29	dispref (29, todib.wav)	325041	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1150	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 15	dispref (15, dokub.wav)	326401	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1203	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 32	dispref (32, todupe.wav)	328601	Button 5 (right thumb)	5	Pressed	(based on tag)	C	2007	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 23	dispref (23, pigeb.wav)	331210	Button 4 (left thumb)	4	Pressed	(based on tag)	C	2449	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 17	dispref (17, goteb.wav)	332500	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1096	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 14	dispref (14, dogipe.wav)	333850	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1139	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 27	dispref (27, tekub.wav)	335659	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1563	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 27	Please take a b...	336900	Button 4 (left thumb)	4	Pressed	(any response)	C	2804	
DisFirst_reg	J_M	DF_1	dispref	dispref, 19	dispref (19, gutob.wav)	339039	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1872	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 24	dispref (24, pigepe.wav)	340398	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1195	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 14	dispref (14, dogipe.wav)	342248	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1654	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 25	dispref (25, potib.wav)	343678	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1256	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 8	dispref (8, bugipe.wav)	345537	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1674	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 28	dispref (28, tekupe.wav)	348017	Button 5 (right thumb)	5	Pressed	(based on tag)	C	2318	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 23	dispref (23, pigeb.wav)	350057	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1827	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 4	dispref (4, bikupe.wav)	353716	Button 4 (left thumb)	4	Pressed	(based on tag)	E	3457	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 1	dispref (1, bidob.wav)	355666	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1740	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 31	dispref (31, todub.wav)	357476	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1662	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 21	dispref (21, pidob.wav)	359056	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1415	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 3	dispref (3, bikub.wav)	361025	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1808	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 27	dispref (27, tekub.wav)	362884	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1673	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 30	dispref (30, todipe.wav)	364504	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1438	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 32	dispref (32, todupe.wav)	366644	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1989	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 9	dispref (9, degob.wav)	367784	Button 4 (left thumb)	4	Pressed	(based on tag)	C	964	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 20	dispref (20, gutope.wav)	369083	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1130	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 16	dispref (16, dokupe.wav)	370633	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1265	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 13	dispref (13, dogib.wav)	371783	Button 4 (left thumb)	4	Pressed	(based on tag)	C	984	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 17	dispref (17, goteb.wav)	373152	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1219	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 11	dispref (11, dikeb.wav)	375562	Button 4 (left thumb)	4	Pressed	(based on tag)	C	2261	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 6	dispref (6, bogepe.wav)	378511	Button 5 (right thumb)	5	Pressed	(based on tag)	C	2801	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 22	dispref (22, pidope.wav)	380001	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1341	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 15	dispref (15, dokub.wav)	381071	Button 4 (left thumb)	4	Pressed	(based on tag)	C	920	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 18	dispref (18, gotepe.wav)	382413	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1195	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 10	dispref (10, degope.wav)	383690	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1126	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 26	dispref (26, potipe.wav)	385090	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1108	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 12	dispref (12, dikepe.wav)	386560	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1156	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 7	dispref (7, bugib.wav)	387860	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1069	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 29	dispref (29, todib.wav)	389550	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1543	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 5	dispref (5, bogeb.wav)	391169	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1473	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 2	dispref (2, bidope.wav)	392739	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1407	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 2	Please take a b...	394119	Button 5 (right thumb)	5	Pressed	(any response)	C	2787	
DisFirst_reg	J_M	DF_1	dispref	dispref, 14	dispref (14, dogipe.wav)	395838	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1487	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 24	dispref (24, pigepe.wav)	397158	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1167	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 25	dispref (25, potib.wav)	398438	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1055	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 8	dispref (8, bugipe.wav)	400028	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1444	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 12	dispref (12, dikepe.wav)	401457	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1278	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 4	dispref (4, bikupe.wav)	402837	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1226	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 26	dispref (26, potipe.wav)	404237	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1233	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 7	dispref (7, bugib.wav)	405547	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1132	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 29	dispref (29, todib.wav)	407066	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1353	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 5	dispref (5, bogeb.wav)	410196	Button 4 (left thumb)	4	Pressed	(based on tag)	C	2980	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 3	dispref (3, bikub.wav)	412555	Button 4 (left thumb)	4	Pressed	(based on tag)	C	2189	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 13	dispref (13, dogib.wav)	415275	Button 4 (left thumb)	4	Pressed	(based on tag)	C	2567	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 21	dispref (21, pidob.wav)	421224	Button 4 (left thumb)	4	Pressed	(based on tag)	C	5757	b
