.Experiment Name	Phoneme_VoicedVoiceless1
.Participant Name	DFi1
.Session ID	VY Test
.Date	9/9/2025	2:42:25 PM
.Resolution	1920	1080
.OS	Windows 10 (10.0)	x86_64

Participant	Participant	Session	Block	Trial	Event	Cumulative	Participant		Pressed Or	Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Time	Response	Key	Released	Response	Code	Time	PorB
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 14	dispref_inverse (14, dogipe.wav)	224862	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1290	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 21	dispref_inverse (21, pidob.wav)	226052	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1026	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 28	dispref_inverse (28, tekupe.wav)	227622	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1410	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 26	dispref_inverse (26, potipe.wav)	229481	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1659	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 18	dispref_inverse (18, gotepe.wav)	231071	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1438	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 18	Please take a b...	237360	Button 5 (right thumb)	5	Pressed	(any response)	C	7727	
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 15	dispref_inverse (15, dokub.wav)	238910	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1315	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 9	dispref_inverse (9, degob.wav)	240850	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1797	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 11	dispref_inverse (11, dikeb.wav)	242069	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1027	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 30	dispref_inverse (30, todipe.wav)	243579	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1362	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 29	dispref_inverse (29, todib.wav)	244868	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1134	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 19	dispref_inverse (19, gutob.wav)	246148	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1068	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 26	dispref_inverse (26, potipe.wav)	247678	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1354	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 17	dispref_inverse (17, goteb.wav)	248948	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1115	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 8	dispref_inverse (8, bugipe.wav)	250497	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1396	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 32	dispref_inverse (32, todupe.wav)	252227	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1576	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 4	dispref_inverse (4, bikupe.wav)	253887	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1510	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 6	dispref_inverse (6, bogepe.wav)	255607	Button 5 (right thumb)	5	Pressed	(based on tag)	E	1569	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 5	dispref_inverse (5, bogeb.wav)	256936	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1178	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 22	dispref_inverse (22, pidope.wav)	258506	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1417	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 28	dispref_inverse (28, tekupe.wav)	260096	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1430	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 31	dispref_inverse (31, todub.wav)	261625	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1378	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 3	dispref_inverse (3, bikub.wav)	262955	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1176	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 13	dispref_inverse (13, dogib.wav)	264545	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1434	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 25	dispref_inverse (25, potib.wav)	266614	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1916	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 14	dispref_inverse (14, dogipe.wav)	268254	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1488	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 16	dispref_inverse (16, dokupe.wav)	269784	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1378	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 10	dispref_inverse (10, degope.wav)	271373	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1428	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 18	dispref_inverse (18, gotepe.wav)	273393	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1863	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 20	dispref_inverse (20, gutope.wav)	275233	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1675	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 27	dispref_inverse (27, tekub.wav)	276542	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1146	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 2	dispref_inverse (2, bidope.wav)	278012	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1303	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 21	dispref_inverse (21, pidob.wav)	279712	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1521	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 12	dispref_inverse (12, dikepe.wav)	281781	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1909	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 7	dispref_inverse (7, bugib.wav)	283701	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1764	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 23	dispref_inverse (23, pigeb.wav)	284851	Button 5 (right thumb)	5	Pressed	(based on tag)	C	999	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 24	dispref_inverse (24, pigepe.wav)	286591	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1564	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 1	dispref_inverse (1, bidob.wav)	287720	Button 5 (right thumb)	5	Pressed	(based on tag)	C	979	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 1	Please take a b...	293869	Button 5 (right thumb)	5	Pressed	(any response)	C	7128	
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 13	dispref_inverse (13, dogib.wav)	295229	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1116	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 8	dispref_inverse (8, bugipe.wav)	296589	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1209	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 23	dispref_inverse (23, pigeb.wav)	297869	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1031	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 17	dispref_inverse (17, goteb.wav)	299128	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1110	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 15	dispref_inverse (15, dokub.wav)	300338	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1032	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 7	dispref_inverse (7, bugib.wav)	301558	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1073	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 6	dispref_inverse (6, bogepe.wav)	303078	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1366	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 1	dispref_inverse (1, bidob.wav)	304447	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1218	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 27	dispref_inverse (27, tekub.wav)	306017	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1416	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 3	dispref_inverse (3, bikub.wav)	307237	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1076	b
